"unigram","bigram","freq"
"now","and",97
"on","tuesday",97
"starting","to",97
"the","summer",97
"they","want",97
"think","you",97
"a","book",96
"and","see",96
"go","on",96
"him","in",96
"member","of",96
"now","the",96
"or","two",96
"the","moment",96
"the","place",96
"the","president",96
"the","years",96
"there","and",96
"this","summer",96
"to","add",96
"was","that",96
"was","very",96
"way","i",96
"week","and",96
"where","they",96
"yeah","i",96
"a","former",95
"as","many",95
"been","the",95
"believe","that",95
"i","wanna",95
"if","she",95
"is","like",95
"one","is",95
"proud","of",95
"put","it",95
"said","we",95
"the","internet",95
"trip","to",95
"two","of",95
"want","a",95
"will","make",95
"as","part",94
"find","the",94
"has","not",94
"hit","the",94
"i","heard",94
"it","makes",94
"its","time",94
"lol","i",94
"one","more",94
"quite","a",94
"read","the",94
"seemed","to",94
"still","have",94
"the","citys",94
"the","north",94
"to","turn",94
"what","happened",94
"will","take",94
"a","number",93
"am","a",93
"do","something",93
"even","the",93
"food","and",93
"if","its",93
"lets","go",93
"look","for",93
"man","who",93
"me","too",93
"my","best",93
"none","of",93
"same","time",93
"that","all",93
"that","could",93
"that","were",93
"the","greatest",93
"the","job",93
"the","rt",93
"to","provide",93
"using","the",93
"work","with",93
"a","special",92
"an","amazing",92
"be","so",92
"but","also",92
"i","read",92
"i","wasnt",92
"it","so",92
"million","in",92
"much","for",92
"of","god",92
"right","to",92
"that","his",92
"the","hospital",92
"tonight","at",92
"we","know",92
"a","person",91
"about","my",91
"addition","to",91
"ahead","of",91
"and","two",91
"as","possible",91
"but","for",91
"got","my",91
"in","with",91
"love","that",91
"nothing","to",91
"of","any",91
"on","wednesday",91
"the","group",91
"time","with",91
"very","good",91
"a","child",90
"a","guy",90
"a","major",90
"all","those",90
"care","of",90
"each","of",90
"end","up",90
"few","years",90
"friends","and",90
"her","and",90
"is","something",90
"more","about",90
"near","the",90
"san","diego",90
"someone","who",90
"the","area",90
"the","local",90
"the","room",90
"to","visit",90
"who","will",90
"years","in",90
"all","this",89
"and","at",89
"as","she",89
"department","of",89
"for","what",89
"of","one",89
"of","work",89
"on","top",89
"say","i",89
"so","good",89
"taking","a",89
"the","economy",89
"the","market",89
"the","power",89
"the","project",89
"the","worst",89
"thing","i",89
"to","its",89
"work","and",89
"a","pretty",88
"a","really",88
"are","doing",88
"be","done",88
"be","sure",88
"filled","with",88
"in","any",88
"inside","the",88
"it","might",88
"its","going",88
"let","the",88
"no","more",88
"not","in",88
"on","sunday",88
"so","im",88
"the","board",88
"the","office",88
"to","join",88
"which","he",88
"you","on",88
"a","half",87
"are","some",87
"back","at",87
"figure","out",87
"from","to",87
"give","me",87
"here","i",87
"home","to",87
"ive","never",87
"just","want",87
"much","better",87
"much","to",87
"my","husband",87
"on","and",87
"other","people",87
"that","had",87
"that","way",87
"thats","why",87
"the","court",87
"the","police",87
"to","call",87
"to","sell",87
"a","full",86
"a","million",86
"a","series",86
"an","email",86
"and","let",86
"because","we",86
"can","only",86
"found","a",86
"get","my",86
"getting","a",86
"into","my",86
"is","at",86
"keep","the",86
"new","year",86
"on","facebook",86
"once","again",86
"people","and",86
"plan","to",86
"please","follow",86
"that","when",86
"the","news",86
"time","the",86
"to","school",86
"use","a",86
"we","cant",86
"we","love",86
"were","the",86
"when","youre",86
"why","the",86
"you","look",86
"a","minute",85
"and","also",85
"and","go",85
"and","our",85
"come","in",85
"do","so",85
"found","out",85
"happened","to",85
"ice","cream",85
"it","looks",85
"its","hard",85
"join","us",85
"not","been",85
"out","my",85
"the","latest",85
"the","reason",85
"this","point",85
"to","open",85
"up","my",85
"without","a",85
"a","certain",84
"cant","believe",84
"few","days",84
"making","a",84
"my","day",84
"now","im",84
"our","new",84
"see","that",84
"so","they",84
"the","kitchen",84
"the","race",84
"the","red",84
"the","table",84
"the","three",84
"things","to",84
"variety","of",84
"watch","the",84
"a","team",83
"all","in",83
"all","these",83
"at","it",83
"give","it",83
"had","an",83
"it","may",83
"it","when",83
"last","season",83
"me","if",83
"my","family",83
"no","way",83
"on","thursday",83
"only","to",83
"over","and",83
"result","of",83
"said","its",83
"that","means",83
"the","district",83
"this","month",83
"to","hold",83
"to","save",83
"to","speak",83
"ways","to",83
"whats","the",83
"when","im",83
"which","the",83
"a","piece",82
"a","result",82
"am","so",82
"and","do",82
"for","two",82
"her","own",82
"involved","in",82
"lead","to",82
"left","the",82
"or","something",82
"return","to",82
"says","the",82
"so","he",82
"take","it",82
"terms","of",82
"the","air",82
"the","county",82
"the","wrong",82
"to","avoid",82
"two","weeks",82
"wake","up",82
