"unigram","bigram","trigram","freq"
"the","next","few",36
"the","time","i",36
"thought","i","was",36
"to","know","that",36
"to","me","that",36
"to","think","about",36
"up","in","a",36
"we","do","not",36
"we","dont","have",36
"when","i","get",36
"when","you","get",36
"will","have","a",36
"you","dont","want",36
"you","going","to",36
"a","copy","of",35
"a","good","thing",35
"and","the","rest",35
"and","you","can",35
"as","good","as",35
"as","one","of",35
"be","a","great",35
"do","with","the",35
"dont","know","why",35
"earlier","this","year",35
"give","me","a",35
"happy","new","year",35
"have","to","go",35
"i","am","in",35
"i","am","the",35
"i","had","no",35
"i","look","forward",35
"i","was","so",35
"if","you","were",35
"im","not","a",35
"im","not","going",35
"in","one","of",35
"in","recent","years",35
"lot","of","people",35
"of","all","time",35
"of","the","other",35
"of","the","us",35
"over","the","last",35
"thanks","to","the",35
"that","he","has",35
"the","federal","government",35
"the","first","half",35
"the","hands","of",35
"the","last","few",35
"the","only","way",35
"the","s","and",35
"there","are","many",35
"to","come","back",35
"to","have","you",35
"to","watch","the",35
"wanted","to","do",35
"was","on","the",35
"was","the","only",35
"were","in","the",35
"a","lot","to",34
"am","to","pm",34
"and","i","love",34
"and","they","are",34
"be","at","the",34
"but","i","cant",34
"for","the","ff",34
"grew","up","in",34
"have","you","been",34
"i","was","thinking",34
"if","you","do",34
"in","the","face",34
"in","which","the",34
"is","there","a",34
"is","trying","to",34
"it","to","be",34
"just","a","few",34
"know","if","you",34
"let","us","know",34
"little","bit","of",34
"looking","at","the",34
"love","to","see",34
"makes","me","feel",34
"may","have","been",34
"of","the","night",34
"on","the","phone",34
"out","of","it",34
"over","the","next",34
"rt","if","you",34
"thanks","for","all",34
"that","they","were",34
"the","block","of",34
"the","future","of",34
"the","loss","of",34
"the","man","who",34
"the","world","is",34
"this","is","why",34
"to","give","it",34
"to","have","been",34
"to","the","new",34
"to","the","us",34
"you","in","the",34
"about","percent","of",33
"and","i","can",33
"and","that","was",33
"and","the","other",33
"but","there","are",33
"came","up","with",33
"for","me","and",33
"for","the","day",33
"for","the","mention",33
"for","the","second",33
"for","them","to",33
"for","those","who",33
"getting","ready","to",33
"give","it","a",33
"go","to","sleep",33
"going","to","take",33
"had","a","good",33
"happy","birthday","to",33
"he","has","been",33
"he","said","i",33
"he","was","the",33
"i","should","be",33
"i","woke","up",33
"if","you","cant",33
"if","youre","not",33
"in","my","mind",33
"in","other","words",33
"in","the","area",33
"in","the","kitchen",33
"in","the","new",33
"is","such","a",33
"is","what","i",33
"it","looks","like",33
"let","you","know",33
"middle","of","the",33
"might","be","the",33
"of","course","the",33
"of","the","last",33
"of","those","who",33
"parts","of","the",33
"said","in","an",33
"set","up","a",33
"so","proud","of",33
"so","that","i",33
"so","we","can",33
"so","you","can",33
"that","he","had",33
"that","we","can",33
"thats","what","i",33
"the","age","of",33
"the","time","and",33
"the","world","and",33
"there","are","some",33
"those","who","are",33
"to","get","some",33
"way","to","the",33
"we","are","going",33
"what","i","was",33
"what","is","your",33
"when","you","have",33
"who","has","been",33
"you","can","find",33
"you","do","not",33
"you","get","to",33
"a","few","of",32
"all","kinds","of",32
"all","of","our",32
"all","sorts","of",32
"and","he","was",32
"and","im","not",32
"and","one","of",32
"and","there","is",32
"and","when","i",32
"appears","to","be",32
"as","you","can",32
"back","of","the",32
"best","way","to",32
"go","to","a",32
"going","to","make",32
"have","to","take",32
"he","wanted","to",32
"here","are","some",32
"how","to","get",32
"i","grew","up",32
"i","have","not",32
"i","needed","to",32
"i","think","of",32
"i","was","the",32
"id","love","to",32
"if","i","can",32
"if","i","could",32
"if","they","are",32
"in","your","life",32
"is","no","longer",32
"it","does","not",32
"its","a","great",32
"its","one","of",32
"just","wanted","to",32
"like","to","see",32
"me","and","my",32
"men","and","women",32
"mothers","day","to",32
"much","of","a",32
"one","of","our",32
"over","and","over",32
"ready","for","the",32
"that","has","been",32
"the","heart","of",32
"the","idea","that",32
"the","key","to",32
"the","lack","of",32
"the","past","two",32
"the","regular","season",32
"the","st","louis",32
"the","way","that",32
"think","about","it",32
"this","is","an",32
"to","be","more",32
"to","come","out",32
"to","know","what",32
"to","start","the",32
"to","the","state",32
"up","for","the",32
"was","a","good",32
"when","i","saw",32
"which","is","a",32
"while","i","was",32
"who","you","are",32
"work","in","the",32
"would","not","be",32
"you","guys","are",32
"a","ton","of",31
"a","trip","to",31
"and","for","the",31
"and","i","cant",31
"as","opposed","to",31
"at","some","point",31
"back","into","the",31
"beginning","of","the",31
"could","be","a",31
"early","in","the",31
"he","is","the",31
"how","much","i",31
"i","dont","really",31
"i","got","my",31
"if","it","was",31
"im","pretty","sure",31
"in","and","out",31
"in","favor","of",31
"in","los","angeles",31
"in","response","to",31
"in","the","meantime",31
"is","also","a",31
"it","is","so",31
"it","makes","me",31
"it","on","the",31
"its","all","about",31
"me","if","you",31
"of","one","of",31
"of","the","th",31
"or","at","least",31
"should","not","be",31
"so","excited","to",31
"so","if","you",31
"so","much","to",31
"spread","the","word",31
"that","we","are",31
"the","first","of",31
"the","last","years",31
"the","things","that",31
"there","are","so",31
"this","year","and",31
"thought","i","would",31
"to","be","at",31
"to","everyone","who",31
"to","one","of",31
"to","win","the",31
"way","to","go",31
"we","have","been",31
